Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,1.33,0.1,0.98,0.26,1.37,-0.05,-0.1,0.26,1.48,-1.20E-04,0.65,0.26,1.48,0.06,0.34,0.26,1.42,0.06,0.3,0.26,1.48,-0.01,0.78,0.26,1.52,-0.05,-5.76,0.26,1.51,-0.15,-0.12,0.26,1.57,-0.01,3.17,0.26,1.46,-0.02,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,1.33,0.11,0.5,0.28,1.37,-0.07,1.32,0.28,1.48,0.03,0.57,0.28,1.48,0.07,0.59,0.28,1.42,0.04,-0.65,0.28,1.48,0.03,0.58,0.28,1.51,-0.24,-8.83,0.28,1.51,-0.07,5.86,0.28,1.57,0.01,1.5,0.28,1.46,-0.05,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.33,0.12,-0.27,0.3,1.37,0.01,1.8,0.3,1.48,0.03,-0.08,0.3,1.48,0.03,2.91,0.3,1.42,-0.04,0.87,0.3,1.48,0.05,-0.55,0.3,1.5,-0.49,-9.49,0.3,1.51,0.16,6.33,0.3,1.57,0.01,0.24,0.3,1.47,-0.04,-5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,1.33,0.11,-2.17,0.32,1.37,0.07,0.22,0.32,1.48,0.02,-0.46,0.32,1.48,0.15,5.03,0.32,1.42,0.04,3.26,0.32,1.48,-0.01,-1.63,0.32,1.49,-0.65,-7.61,0.32,1.51,0.36,-1.38,0.32,1.57,0.01,-0.2,0.32,1.46,-0.26,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34,1.34,0.07,-4.72,0.34,1.37,0.03,-1.94,0.34,1.48,0.01,-0.3,0.34,1.48,0.33,3.21,0.34,1.42,0.17,2.9,0.34,1.48,-0.04,-2.08,0.34,1.47,-0.79,-5.43,0.34,1.53,0.18,-10.75,0.34,1.57,0.01,-1.08,0.34,1.46,-0.49,-8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,1.34,-0.1,-5.23,0.36,1.37,-0.06,-1.98,0.36,1.48,0.01,0.1,0.36,1.5,0.37,-2.61,0.36,1.43,0.22,-1.85,0.36,1.48,-0.08,-1.77,0.36,1.46,-0.86,-4.1,0.36,1.53,-0.26,-12.01,0.36,1.57,-0.02,-2,0.36,1.44,-0.61,-5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,1.34,-0.24,-2.35,0.38,1.37,-0.09,-0.71,0.38,1.48,0.01,0.4,0.38,1.5,0.19,-6.32,0.38,1.43,0.12,-6.47,0.38,1.48,-0.13,-0.91,0.38,1.44,-0.93,-3.33,0.38,1.51,-0.52,-3.17,0.38,1.57,-0.09,-1.77,0.38,1.43,-0.67,-2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.32,-0.21,2.02,0.4,1.37,-0.05,1.85,0.4,1.48,0.03,0.9,0.4,1.5,-0.03,-5.39,0.4,1.43,-0.14,-6.88,0.4,1.48,-0.13,0.79,0.4,1.42,-1,-3.22,0.4,1.5,-0.39,6.42,0.4,1.56,-0.13,-0.26,0.4,1.42,-0.68,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,1.33,-0.1,5.13,0.42,1.37,-0.07,5.42,0.42,1.48,0.03,1.43,0.42,1.5,-0.03,-3.14,0.42,1.43,-0.25,-3.88,0.42,1.47,-0.1,2.34,0.42,1.4,-1.05,-3.39,0.42,1.5,-0.07,8.51,0.42,1.56,-0.1,2.14,0.42,1.4,-0.69,-2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,1.32,0,5.99,0.44,1.36,0.14,6.09,0.44,1.48,0.09,0.9,0.44,1.5,-0.05,-3.33,0.44,1.41,-0.24,-1.7,0.44,1.47,-0.01,2.4,0.44,1.38,-1.13,-3.57,0.44,1.5,0.07,4.01,0.44,1.56,-0.05,3.66,0.44,1.39,-0.75,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46,1.32,0.16,3.85,0.46,1.36,0.37,0.39,0.46,1.48,0.12,-0.93,0.46,1.5,-0.16,-4.5,0.46,1.42,-0.25,-2,0.46,1.47,0.04,1.48,0.46,1.36,-1.21,-3.31,0.46,1.51,0.05,-0.73,0.46,1.56,0.09,2.77,0.46,1.38,-0.87,-4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48,1.32,0.25,-0.76,0.48,1.39,0.24,-8.22,0.48,1.49,0.05,-2.75,0.48,1.5,-0.3,-2.68,0.48,1.41,-0.34,-0.82,0.48,1.48,0.02,0.62,0.48,1.33,-1.27,-2.58,0.48,1.5,-0.03,-1.81,0.48,1.56,0.13,-0.16,0.48,1.35,-0.97,-2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
